nombre_normalizado,nombre_original,veredicto,categoria,metodo,razon
diploma en tecnicas proyectivas,DIPLOMA EN TECNICAS PROYECTIVAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en tecnologia nuclear,DIPLOMA EN TECNOLOGIA NUCLEAR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma en ventilacion industrial,DIPLOMA EN VENTILACION INDUSTRIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma fundamentos de informatica en salud,DIPLOMA FUNDAMENTOS DE INFORMATICA EN SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma gestion de proyectos de tecnologias de informacion,DIPLOMA GESTION DE PROYECTOS DE TECNOLOGIAS DE INFORMACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma gestion en medicina farmaceutica,DIPLOMA GESTION EN MEDICINA FARMACEUTICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma higiene ocupacional,DIPLOMA HIGIENE OCUPACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma in descriptive linguistics and cultural sympathy,DIPLOMA IN DESCRIPTIVE LINGUISTICS AND CULTURAL SYMPATHY,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma internacional en comunicacion publica,DIPLOMA INTERNACIONAL EN COMUNICACION PUBLICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma introduccion al negocio minero,DIPLOMA INTRODUCCION AL NEGOCIO MINERO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma lectura critica,DIPLOMA LECTURA CRITICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma liderazgo, comunicacion efectiva y herramientas tecnologicas para peritos biometricos","DIPLOMA LIDERAZGO, COMUNICACION EFECTIVA Y HERRAMIENTAS TECNOLOGICAS PARA PERITOS BIOMETRICOS",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma literatura comparada,DIPLOMA LITERATURA COMPARADA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma manejo integral de la persona con heridas,DIPLOMA MANEJO INTEGRAL DE LA PERSONA CON HERIDAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma navegacion,DIPLOMA NAVEGACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma nivel avanzado,DIPLOMA NIVEL AVANZADO,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
diploma nivel iniciacion,DIPLOMA NIVEL INICIACION,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
diploma nivel iniciacion (musica),DIPLOMA NIVEL INICIACION (MUSICA),INCLUIR,Otros,lexico,Nombre con 'música'/'musical' (se incluye automáticamente)
diploma nivel intermedio,DIPLOMA NIVEL INTERMEDIO,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
diploma nivel intermedio (musica),DIPLOMA NIVEL INTERMEDIO (MUSICA),INCLUIR,Otros,lexico,Nombre con 'música'/'musical' (se incluye automáticamente)
diploma para modelamiento y analisis de datos,DIPLOMA PARA MODELAMIENTO Y ANALISIS DE DATOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diploma piloto privado,DIPLOMA PILOTO PRIVADO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma sistemas integrados de gestion de calidad, medio ambiente, salud ocupacional y responsabilidad social","DIPLOMA SISTEMAS INTEGRADOS DE GESTION DE CALIDAD, MEDIO AMBIENTE, SALUD OCUPACIONAL Y RESPONSABILIDAD SOCIAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diploma tecnologias digitales bim para el diseno, gestion y coordinacion del proyecto de arquitectura","DIPLOMA TECNOLOGIAS DIGITALES BIM PARA EL DISEÑO, GESTION Y COORDINACION DEL PROYECTO DE ARQUITECTURA",EXCLUIR,,lexico,Artes visuales/plásticas
diplomado abordaje integral en trastornos de la deglucion mencion en poblacion adulta mencion en poblacion pediatrica,DIPLOMADO ABORDAJE INTEGRAL EN TRASTORNOS DE LA DEGLUCION MENCION EN POBLACION ADULTA MENCION EN POBLACION PEDIATRICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado abordaje nutricional y de calidad de vida en personas mayores,DIPLOMADO ABORDAJE NUTRICIONAL Y DE CALIDAD DE VIDA EN PERSONAS MAYORES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado abordaje psicoanalitico de los desafios clinicos actuales en el tratamiento de ninos y adolescentes,DIPLOMADO ABORDAJE PSICOANALITICO DE LOS DESAFIOS CLINICOS ACTUALES EN EL TRATAMIENTO DE NIÑOS Y ADOLESCENTES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado abuso sexual infantil,DIPLOMADO ABUSO SEXUAL INFANTIL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado actividad fisica para el embarazo y postparto,DIPLOMADO ACTIVIDAD FISICA PARA EL EMBARAZO Y POSTPARTO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado actualizacion en derecho de familia,DIPLOMADO ACTUALIZACION EN DERECHO DE FAMILIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado actualizacion en el test de rorschach,DIPLOMADO ACTUALIZACION EN EL TEST DE RORSCHACH,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado actualizacion en psicodiagnostico infanto juvenil,DIPLOMADO ACTUALIZACION EN PSICODIAGNOSTICO INFANTO JUVENIL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado administracion de bases de datos,DIPLOMADO ADMINISTRACION DE BASES DE DATOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado administracion de contratos,DIPLOMADO ADMINISTRACION DE CONTRATOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado administracion de sistemas unix e interconectividad de redes,DIPLOMADO ADMINISTRACION DE SISTEMAS UNIX E INTERCONECTIVIDAD DE REDES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado administracion en gestion publica,DIPLOMADO ADMINISTRACION EN GESTION PUBLICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado alta dir y gest institut,DIPLOMADO ALTA DIR Y GEST INSTITUT,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado alta direccion educativa,DIPLOMADO ALTA DIRECCION EDUCATIVA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado analisis criminal para la gestion de la seguridad,DIPLOMADO ANALISIS CRIMINAL PARA LA GESTION DE LA SEGURIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado aplicaciones para disenos web,DIPLOMADO APLICACIONES PARA DISEÑOS WEB,EXCLUIR,,lexico,Artes visuales/plásticas
diplomado aplicaciones practicas de la medicina en el deporte,DIPLOMADO APLICACIONES PRACTICAS DE LA MEDICINA EN EL DEPORTE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado aplicado en mediacion cultural artistica y patrimonial,DIPLOMADO APLICADO EN MEDIACION CULTURAL ARTISTICA Y PATRIMONIAL,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
diplomado arquitectura de informacion y experiencia de usuario,DIPLOMADO ARQUITECTURA DE INFORMACION Y EXPERIENCIA DE USUARIO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado arquitectura de servicios tecnologicos,DIPLOMADO ARQUITECTURA DE SERVICIOS TECNOLOGICOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado arte ciencia y tecnologia,DIPLOMADO ARTE CIENCIA Y TECNOLOGIA,EXCLUIR,,lexico,Arte sin mención musical explícita
diplomado artes circenses,DIPLOMADO ARTES CIRCENSES,EXCLUIR,,lexico,Arte sin mención musical explícita
diplomado artesania y gestion: ecosistemas creativos con pertinencia territorial,DIPLOMADO ARTESANIA Y GESTION: ECOSISTEMAS CREATIVOS CON PERTINENCIA TERRITORIAL,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
diplomado aseguramiento de la calidad analitica y gestion para la acreditacion en laboratorio clinico y banco de sangre,DIPLOMADO ASEGURAMIENTO DE LA CALIDAD ANALITICA Y GESTION PARA LA ACREDITACION EN LABORATORIO CLINICO Y BANCO DE SANGRE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado aseguramiento de la calidad y sistemas de gestion de la inocuidad en la industria alimentaria,DIPLOMADO ASEGURAMIENTO DE LA CALIDAD Y SISTEMAS DE GESTION DE LA INOCUIDAD EN LA INDUSTRIA ALIMENTARIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado asesoramiento genetico oncologico,DIPLOMADO ASESORAMIENTO GENETICO ONCOLOGICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado atencion integral de matroneria en usuarias gineco-obstetrica de alta complejidad,DIPLOMADO ATENCION INTEGRAL DE MATRONERIA EN USUARIAS GINECO-OBSTETRICA DE ALTA COMPLEJIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado atencion integral de salud,DIPLOMADO ATENCION INTEGRAL DE SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diplomado atencion integral de salud, con enfoque familiar y comunitario","DIPLOMADO ATENCION INTEGRAL DE SALUD, CON ENFOQUE FAMILIAR Y COMUNITARIO",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado atencion temprana de ninos con la condicion de espectro autista. modelo centrado en familia,DIPLOMADO ATENCION TEMPRANA DE NIÑOS CON LA CONDICION DE ESPECTRO AUTISTA. MODELO CENTRADO EN FAMILIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado avances en farmacoterapia,DIPLOMADO AVANCES EN FARMACOTERAPIA,EXCLUIR,,lexico,Terapia no musical
diplomado avanzado en direccion de proyectos,DIPLOMADO AVANZADO EN DIRECCION DE PROYECTOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado avanzado en evaluacion y gestion financiera,DIPLOMADO AVANZADO EN EVALUACION Y GESTION FINANCIERA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado avanzado en pedagogia universitaria,DIPLOMADO AVANZADO EN PEDAGOGIA UNIVERSITARIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado avanzado en revit y metodologia bim para infraestructura publica sostenible y eficiencia energetica,DIPLOMADO AVANZADO EN REVIT Y METODOLOGIA BIM PARA INFRAESTRUCTURA PUBLICA SOSTENIBLE Y EFICIENCIA ENERGETICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado b-learning en medicina de animales pequenos,DIPLOMADO B-LEARNING EN MEDICINA DE ANIMALES PEQUEÑOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado basico en pedagogia universitaria,DIPLOMADO BASICO EN PEDAGOGIA UNIVERSITARIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado big data & business intelligence,DIPLOMADO BIG DATA & BUSINESS INTELLIGENCE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado big data para la gestion,DIPLOMADO BIG DATA PARA LA GESTION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado big data y ciencia de datos,DIPLOMADO BIG DATA Y CIENCIA DE DATOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado bim (building information modeling),DIPLOMADO BIM (BUILDING INFORMATION MODELING),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diplomado bim en integracion del diseno, coordinacion y revision para proyectos aec","DIPLOMADO BIM EN INTEGRACION DEL DISEÑO, COORDINACION Y REVISION PARA PROYECTOS AEC",EXCLUIR,,lexico,Artes visuales/plásticas
"diplomado bim, gestion, modelacion y coordinacion en proyectos de arquitectura","DIPLOMADO BIM, GESTION, MODELACION Y COORDINACION EN PROYECTOS DE ARQUITECTURA",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado bim: modelacion y coordinacion de proyectos,DIPLOMADO BIM: MODELACION Y COORDINACION DE PROYECTOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado bioambiental 2008 territorio y arquitectura ¿que debemos saber?,DIPLOMADO BIOAMBIENTAL 2008 TERRITORIO Y ARQUITECTURA ¿QUE DEBEMOS SABER?,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado bioestadistica y administracion de datos en salud,DIPLOMADO BIOESTADISTICA Y ADMINISTRACION DE DATOS EN SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado biologia molecular,DIPLOMADO BIOLOGIA MOLECULAR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado biotecnologia en acuicultura,DIPLOMADO BIOTECNOLOGIA EN ACUICULTURA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado building information modeling,DIPLOMADO BUILDING INFORMATION MODELING,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado calidad de vida laboral: responsabilidad social corporativa y desarrollo humano en las organizaciones,DIPLOMADO CALIDAD DE VIDA LABORAL: RESPONSABILIDAD SOCIAL CORPORATIVA Y DESARROLLO HUMANO EN LAS ORGANIZACIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diplomado calidad, acreditacion y gestion ambiental en los laboratorios de ensayo","DIPLOMADO CALIDAD, ACREDITACION Y GESTION AMBIENTAL EN LOS LABORATORIOS DE ENSAYO",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado cariologia clinica y restauradora estetica,DIPLOMADO CARIOLOGIA CLINICA Y RESTAURADORA ESTETICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado cerrado en desarrollo gerencial cementos bio bio,DIPLOMADO CERRADO EN DESARROLLO GERENCIAL CEMENTOS BIO BIO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diplomado cerrado en gestion de negocios, grupo i","DIPLOMADO CERRADO EN GESTION DE NEGOCIOS, GRUPO I",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado cerrado en gestion y administracion de establecimientos educativos,DIPLOMADO CERRADO EN GESTION Y ADMINISTRACION DE ESTABLECIMIENTOS EDUCATIVOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"diplomado cerrado formacion gerencial para supervisores, grupo i","DIPLOMADO CERRADO FORMACION GERENCIAL PARA SUPERVISORES, GRUPO I",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado certificate de estudios avanzados en informatica sanitaria,DIPLOMADO CERTIFICATE DE ESTUDIOS AVANZADOS EN INFORMATICA SANITARIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado certificate en analisis de negocios,DIPLOMADO CERTIFICATE EN ANALISIS DE NEGOCIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado certificate en inteligencia artificial en los negocios,DIPLOMADO CERTIFICATE EN INTELIGENCIA ARTIFICIAL EN LOS NEGOCIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado certificate en liderazgo y estrategia para la transformacion del sistema de salud,DIPLOMADO CERTIFICATE EN LIDERAZGO Y ESTRATEGIA PARA LA TRANSFORMACION DEL SISTEMA DE SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado certificate in medical nutricion,DIPLOMADO CERTIFICATE IN MEDICAL NUTRICION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado certificate in project management,DIPLOMADO CERTIFICATE IN PROJECT MANAGEMENT,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado certificate of leadership and management,DIPLOMADO CERTIFICATE OF LEADERSHIP AND MANAGEMENT,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado ciencias sociales y religiones,DIPLOMADO CIENCIAS SOCIALES Y RELIGIONES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado clinico adulto,DIPLOMADO CLINICO ADULTO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado clinico adultos,DIPLOMADO CLINICO ADULTOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado clinico avanzado en odontologia restauradora biomimetica,DIPLOMADO CLINICO AVANZADO EN ODONTOLOGIA RESTAURADORA BIOMIMETICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado clinico avanzado en odontologia restauradora estetica,DIPLOMADO CLINICO AVANZADO EN ODONTOLOGIA RESTAURADORA ESTETICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado clinico en diagnostico y urgencia en trastornos temporomandibulares,DIPLOMADO CLINICO EN DIAGNOSTICO Y URGENCIA EN TRASTORNOS TEMPOROMANDIBULARES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado clinico en evaluacion y manejo mio-ocluso-articular previos a tratamientos multidisciplinarios,DIPLOMADO CLINICO EN EVALUACION Y MANEJO MIO-OCLUSO-ARTICULAR PREVIOS A TRATAMIENTOS MULTIDISCIPLINARIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado clinico en odontologia estetica restauradora,DIPLOMADO CLINICO EN ODONTOLOGIA ESTETICA RESTAURADORA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado clinico infanto juvenil,DIPLOMADO CLINICO INFANTO JUVENIL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado clinico internacional en trastorno obsesivo compulsivo: evaluacion y tratamiento integral en todo el ciclo vital,DIPLOMADO CLINICO INTERNACIONAL EN TRASTORNO OBSESIVO COMPULSIVO: EVALUACION Y TRATAMIENTO INTEGRAL EN TODO EL CICLO VITAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado coaching ejecutivo y desarrollo organizacional,DIPLOMADO COACHING EJECUTIVO Y DESARROLLO ORGANIZACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado coaching ejecutivo y empresarial,DIPLOMADO COACHING EJECUTIVO Y EMPRESARIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado coaching y asesoria organizacional estrategica,DIPLOMADO COACHING Y ASESORIA ORGANIZACIONAL ESTRATEGICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado com. y des. contenidos tv dig. int,DIPLOMADO COM. Y DES. CONTENIDOS TV DIG. INT,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
diplomado comercial y ventas,DIPLOMADO COMERCIAL Y VENTAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
diplomado como discernir los signos de los tiempos.doctrina social de la iglesia,DIPLOMADO COMO DISCERNIR LOS SIGNOS DE LOS TIEMPOS.DOCTRINA SOCIAL DE LA IGLESIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
